add-none,1,10,20,11118910,555945,0
add-none,1,100,200,10243225,51216,0
add-none,1,1000,2000,11624857,5812,0
add-none,1,10000,20000,9457032,472,0
add-none,1,100000,200000,11374353,56,0
add-yield-none,1,10,20,32217275,1610863,0
add-yield-none,1,100,200,25007976,125039,0
add-yield-none,1,1000,2000,58149130,29074,0
add-yield-none,1,10000,20000,200375021,10018,0
add-yield-none,1,100000,200000,1248236880,6241,0
add-none,2,10,40,873006,21825,0
add-none,2,20,80,1666562,20832,0
add-none,2,40,160,3977857,24861,0
add-none,2,80,320,18307663,57211,0
add-none,2,100,400,5058241,12645,0
add-none,2,1000,4000,21730182,5432,234
add-none,2,10000,40000,1295234,32,0
add-none,2,100000,400000,22051431,55,0
add-none,4,10,80,23856450,298205,0
add-none,4,20,160,21913016,136956,0
add-none,4,40,320,10290550,32157,4
add-none,4,80,640,1247778,1949,0
add-none,4,100,800,1194508,1493,0
add-none,4,1000,8000,29239606,3654,0
add-none,4,10000,80000,22532479,281,-5837
add-none,4,100000,800000,24099381,30,-23428
add-none,8,10,160,10820067,67625,0
add-none,8,20,320,24221988,75693,6
add-none,8,40,640,30556641,47744,-7
add-none,8,80,1280,23637842,18467,-56
add-none,8,100,1600,68202690,42626,54
add-none,8,1000,16000,31737352,1983,700
add-none,8,10000,160000,23999737,149,-2397
add-none,8,100000,1600000,46506048,29,33917
add-none,12,10,240,30068319,125284,12
add-none,12,20,480,21084549,43926,-1
add-none,12,40,960,70425688,73360,0
add-none,12,80,1920,23367059,12170,25
add-none,12,100,2400,12204192,5085,7
add-none,12,1000,24000,19029589,792,-634
add-none,12,10000,240000,23885133,99,-12131
add-none,12,100000,2400000,76584772,31,-84618
add-yield-none,2,10,40,1513161,37829,0
add-yield-none,2,20,80,42421732,530271,0
add-yield-none,2,40,160,51390194,321188,0
add-yield-none,2,80,320,5854697,18295,0
add-yield-none,2,100,400,54134834,135337,0
add-yield-none,2,1000,4000,89165234,22291,0
add-yield-none,2,10000,40000,139173350,3479,916
add-yield-none,2,100000,400000,1721407128,4303,-78102
add-yield-none,4,10,80,37072673,463408,0
add-yield-none,4,20,160,36062204,225388,0
add-yield-none,4,40,320,47150443,147345,0
add-yield-none,4,80,640,24216335,37838,0
add-yield-none,4,100,800,43316077,54145,0
add-yield-none,4,1000,8000,74330304,9291,0
add-yield-none,4,10000,80000,309199789,3864,0
add-yield-none,4,100000,800000,1985029719,2481,-77967
add-yield-none,8,10,160,47073881,294211,0
add-yield-none,8,20,320,46935458,146673,0
add-yield-none,8,40,640,39448883,61638,0
add-yield-none,8,80,1280,46227067,36114,0
add-yield-none,8,100,1600,49257422,30785,0
add-yield-none,8,1000,16000,71308777,4456,0
add-yield-none,8,10000,160000,268816964,1680,1648
add-yield-none,8,100000,1600000,1680749256,1050,-51861
add-yield-none,12,10,240,57183679,238265,0
add-yield-none,12,20,480,37309431,77727,0
add-yield-none,12,40,960,47281376,49251,0
add-yield-none,12,80,1920,46355545,24143,0
add-yield-none,12,100,2400,57320136,23883,0
add-yield-none,12,1000,24000,71313341,2971,0
add-yield-none,12,10000,240000,301357480,1255,1
add-yield-none,12,100000,2400000,1819104701,757,12183
add-yield-m,2,10000,40000,95463059,2386,0
add-yield-m,4,10000,80000,148049606,1850,0
add-yield-m,8,10000,160000,163721664,1023,0
add-yield-m,12,10000,240000,314659221,1311,0
add-yield-c,2,10000,40000,400069675,10001,0
add-yield-c,4,10000,80000,545057058,6813,0
add-yield-c,8,10000,160000,655483064,4096,0
add-yield-c,12,10000,240000,1038456878,4326,0
add-yield-s,2,1000,4000,89338998,22334,0
add-yield-s,4,1000,8000,441173406,55146,0
add-yield-s,8,1000,16000,1339083278,83692,0
add-yield-s,12,1000,24000,1248202482,52008,0
add-none,1,10000,20000,10447588,522,0
add-none,2,10000,40000,9564061,239,0
add-none,4,10000,80000,29941179,374,-1832
add-none,8,10000,160000,22585182,141,-4006
add-m,1,10000,20000,60082273,3004,0
add-m,2,10000,40000,48189075,1204,0
add-m,4,10000,80000,86396134,1079,0
add-m,8,10000,160000,161426758,1008,0
add-m,12,10000,240000,319177229,1329,0
add-s,1,10000,20000,11623149,581,0
add-s,2,10000,40000,21228316,530,0
add-s,4,10000,80000,26188035,327,0
add-s,8,10000,160000,3649584,22,0
add-s,12,10000,240000,25611918,106,0
add-c,1,10000,20000,11246559,562,0
add-c,2,10000,40000,12792098,319,0
add-c,4,10000,80000,26372947,329,0
add-c,8,10000,160000,58932860,368,0
add-c,12,10000,240000,77913225,324,0
add-none,1,10,20,127131,6356,0
add-none,1,100,200,157626,788,0
add-none,1,1000,2000,151872,75,0
add-none,1,10000,20000,273726,13,0
add-none,1,100000,200000,1484366,7,0
add-yield-none,1,10,20,141144,7057,0
add-yield-none,1,100,200,325422,1627,0
add-yield-none,1,1000,2000,1791731,895,0
add-yield-none,1,10000,20000,17298765,864,0
add-yield-none,1,100000,200000,173655008,868,0
add-none,2,10,40,175497,4387,0
add-none,2,20,80,131039,1637,0
add-none,2,40,160,125727,785,0
add-none,2,80,320,160809,502,0
add-none,2,100,400,137824,344,0
add-none,2,1000,4000,153789,38,0
add-none,2,10000,40000,568704,14,523
add-none,2,100000,400000,4427581,11,4300
add-none,4,10,80,206678,2583,0
add-none,4,20,160,174068,1087,0
add-none,4,40,320,173837,543,0
add-none,4,80,640,248444,388,0
add-none,4,100,800,217984,272,0
add-none,4,1000,8000,245877,30,0
add-none,4,10000,80000,1156975,14,-1223
add-none,4,100000,800000,10809760,13,-33728
add-none,8,10,160,317006,1981,0
add-none,8,20,320,450749,1408,0
add-none,8,40,640,323726,505,0
add-none,8,80,1280,368956,288,0
add-none,8,100,1600,299887,187,0
add-none,8,1000,16000,287497,17,0
add-none,8,10000,160000,2275750,14,4033
add-none,8,100000,1600000,19123336,11,-69165
add-none,12,10,240,420258,1751,0
add-none,12,20,480,470974,981,0
add-none,12,40,960,419591,437,0
add-none,12,80,1920,413219,215,-19
add-none,12,100,2400,475561,198,0
add-none,12,1000,24000,424330,17,606
add-none,12,10000,240000,3099089,12,3769
add-none,12,100000,2400000,29477735,12,-60310
add-yield-none,2,10,40,199614,4990,0
add-yield-none,2,20,80,194010,2425,0
add-yield-none,2,40,160,268768,1679,0
add-yield-none,2,80,320,283606,886,18
add-yield-none,2,100,400,367649,919,14
add-yield-none,2,1000,4000,1930015,482,0
add-yield-none,2,10000,40000,19520476,488,-2274
add-yield-none,2,100000,400000,180041107,450,16063
add-yield-none,4,10,80,214889,2686,6
add-yield-none,4,20,160,223577,1397,56
add-yield-none,4,40,320,289506,904,36
add-yield-none,4,80,640,365243,570,100
add-yield-none,4,100,800,389998,487,95
add-yield-none,4,1000,8000,2336328,292,-112
add-yield-none,4,10000,80000,19741278,246,16
add-yield-none,4,100000,800000,191188219,238,-9012
add-yield-none,8,10,160,363282,2270,-6
add-yield-none,8,20,320,337885,1055,76
add-yield-none,8,40,640,386989,604,86
add-yield-none,8,80,1280,474173,370,195
add-yield-none,8,100,1600,491207,307,105
add-yield-none,8,1000,16000,2362534,147,114
add-yield-none,8,10000,160000,21450259,134,-1543
add-yield-none,8,100000,1600000,206570951,129,-16465
add-yield-none,12,10,240,495204,2063,4
add-yield-none,12,20,480,534465,1113,94
add-yield-none,12,40,960,523511,545,130
add-yield-none,12,80,1920,528014,275,77
add-yield-none,12,100,2400,604120,251,189
add-yield-none,12,1000,24000,2862539,119,210
add-yield-none,12,10000,240000,25961006,108,353
add-yield-none,12,100000,2400000,259938868,108,22517
add-yield-m,2,10000,40000,7435180,185,0
add-yield-m,4,10000,80000,12412737,155,0
add-yield-m,8,10000,160000,36097834,225,0
add-yield-m,12,10000,240000,51145374,213,0
add-yield-c,2,10000,40000,32999543,824,0
add-yield-c,4,10000,80000,77032155,962,0
add-yield-c,8,10000,160000,153191427,957,0
add-yield-c,12,10000,240000,237162779,988,0
add-yield-s,2,1000,4000,4235520,1058,0
add-yield-s,4,1000,8000,8218487,1027,0
add-yield-s,8,1000,16000,17502643,1093,0
add-yield-s,12,1000,24000,28457451,1185,0
add-none,1,10000,20000,280572,14,0
add-none,2,10000,40000,624978,15,-2414
add-none,4,10000,80000,1110214,13,3402
add-none,8,10000,160000,2207370,13,-1389
add-m,1,10000,20000,834810,41,0
add-m,2,10000,40000,3705610,92,0
add-m,4,10000,80000,12269343,153,0
add-m,8,10000,160000,34441997,215,0
add-m,12,10000,240000,53302403,222,0
add-s,1,10000,20000,439943,21,0
add-s,2,10000,40000,1914719,47,0
add-s,4,10000,80000,9884959,123,0
add-s,8,10000,160000,32935958,205,0
add-s,12,10000,240000,58195922,242,0
add-c,1,10000,20000,547971,27,0
add-c,2,10000,40000,2160565,54,0
add-c,4,10000,80000,5984876,74,0
add-c,8,10000,160000,15461920,96,0
add-c,12,10000,240000,18893766,78,0
add-none,1,10,20,183116,9155,0
add-none,1,100,200,163020,815,0
add-none,1,1000,2000,195722,97,0
add-none,1,10000,20000,271560,13,0
add-none,1,100000,200000,1427240,7,0
add-yield-none,1,10,20,151551,7577,0
add-yield-none,1,100,200,318383,1591,0
add-yield-none,1,1000,2000,1874807,937,0
add-yield-none,1,10000,20000,17795786,889,0
add-yield-none,1,100000,200000,176027099,880,0
add-none,2,10,40,197510,4937,0
add-none,2,20,80,185551,2319,0
add-none,2,40,160,169313,1058,0
add-none,2,80,320,302933,946,0
add-none,2,100,400,170063,425,0
add-none,2,1000,4000,180341,45,0
add-none,2,10000,40000,446812,11,-2556
add-none,2,100000,400000,4949299,12,-10972
add-none,4,10,80,198371,2479,0
add-none,4,20,160,159714,998,0
add-none,4,40,320,172555,539,0
add-none,4,80,640,211314,330,0
add-none,4,100,800,227164,283,0
add-none,4,1000,8000,295340,36,604
add-none,4,10000,80000,1242644,15,-574
add-none,4,100000,800000,10913151,13,5437
add-none,8,10,160,295207,1845,0
add-none,8,20,320,315376,985,11
add-none,8,40,640,307190,479,0
add-none,8,80,1280,305306,238,0
add-none,8,100,1600,281569,175,0
add-none,8,1000,16000,316849,19,0
add-none,8,10000,160000,2231290,13,-1395
add-none,8,100000,1600000,21635754,13,-46134
add-none,12,10,240,411522,1714,5
add-none,12,20,480,421310,877,0
add-none,12,40,960,502407,523,0
add-none,12,80,1920,521465,271,0
add-none,12,100,2400,381338,158,0
add-none,12,1000,24000,447363,18,60
add-none,12,10000,240000,3118413,12,-4603
add-none,12,100000,2400000,31299187,13,-5121
add-yield-none,2,10,40,186122,4653,0
add-yield-none,2,20,80,170725,2134,18
add-yield-none,2,40,160,285238,1782,26
add-yield-none,2,80,320,315885,987,0
add-yield-none,2,100,400,312901,782,3
add-yield-none,2,1000,4000,2403514,600,26
add-yield-none,2,10000,40000,19654982,491,524
add-yield-none,2,100000,400000,185895769,464,869
add-yield-none,4,10,80,256948,3211,2
add-yield-none,4,20,160,261261,1632,23
add-yield-none,4,40,320,271085,847,34
add-yield-none,4,80,640,322022,503,66
add-yield-none,4,100,800,380897,476,27
add-yield-none,4,1000,8000,2300509,287,57
add-yield-none,4,10000,80000,21741378,271,222
add-yield-none,4,100000,800000,195360787,244,-4043
add-yield-none,8,10,160,343032,2143,6
add-yield-none,8,20,320,321765,1005,35
add-yield-none,8,40,640,485401,758,181
add-yield-none,8,80,1280,446508,348,142
add-yield-none,8,100,1600,477091,298,138
add-yield-none,8,1000,16000,2377032,148,100
add-yield-none,8,10000,160000,21801077,136,-91
add-yield-none,8,100000,1600000,215559868,134,-13482
add-yield-none,12,10,240,657943,2741,1
add-yield-none,12,20,480,447445,932,115
add-yield-none,12,40,960,726842,757,150
add-yield-none,12,80,1920,534471,278,77
add-yield-none,12,100,2400,571603,238,222
add-yield-none,12,1000,24000,2937070,122,54
add-yield-none,12,10000,240000,23816269,99,398
add-yield-none,12,100000,2400000,254007797,105,2129
add-yield-m,2,10000,40000,3896878,97,0
add-yield-m,4,10000,80000,12678795,158,0
add-yield-m,8,10000,160000,38047030,237,0
add-yield-m,12,10000,240000,53842319,224,0
add-yield-c,2,10000,40000,35323962,883,0
add-yield-c,4,10000,80000,74359908,929,0
add-yield-c,8,10000,160000,155840731,974,0
add-yield-c,12,10000,240000,243681390,1015,0
add-yield-s,2,1000,4000,3869603,967,0
add-yield-s,4,1000,8000,9251860,1156,0
add-yield-s,8,1000,16000,15979975,998,0
add-yield-s,12,1000,24000,25717910,1071,0
add-none,1,10000,20000,285658,14,0
add-none,2,10000,40000,527983,13,6635
add-none,4,10000,80000,1090158,13,-3644
add-none,8,10000,160000,1935946,12,2712
add-m,1,10000,20000,809277,40,0
add-m,2,10000,40000,6515567,162,0
add-m,4,10000,80000,12955811,161,0
add-m,8,10000,160000,35957632,224,0
add-m,12,10000,240000,56035326,233,0
add-s,1,10000,20000,421131,21,0
add-s,2,10000,40000,2952663,73,0
add-s,4,10000,80000,9069173,113,0
add-s,8,10000,160000,36563880,228,0
add-s,12,10000,240000,60267190,251,0
add-c,1,10000,20000,615508,30,0
add-c,2,10000,40000,2071886,51,0
add-c,4,10000,80000,5612237,70,0
add-c,8,10000,160000,12594466,78,0
add-c,12,10000,240000,23815141,99,0
